name,desc
深圳市皇庭国际企业股份有限公司,深圳市皇庭国际企业股份有限公司于1985年01月19日在 深圳市市场监督管理局 罗湖局登记成立。法定代表人郑康豪，公司经营范围包括经销日用百货、文化用品、纺织品、服装、劳保用品等。
深圳赛格股份有限公司,深圳赛格股份有限公司成立于1996年，是经 深圳市人民政府 批准，由深圳市赛格股份有限公司将其在所属八家直属、控股及联营公司中的权益进行重组，作为发起人出资，并公开发行 境内上市外资股 （B股）而 募集设立 的股份有限公司。2014年8月28日，深圳赛格股份有限公司发布了《停牌公告》（公告编号：2014-052），因公司正在商议可能对公司产生重大影响的事项，为了防止公司股价异动，保护广大投资者的利益，根据 深圳证券交易所 的相关规定，经申请，公司股票（证券简称：深赛格、深赛格B ，证券代码：000058、200058 ）已于2014年8月28日开市起临时停牌。 [1]  
深圳市农产品集团股份有限公司,深圳市农产品集团股份有限公司于1989年01月14日成立。法定代表人黄伟。 [1]  
深圳市中金岭南有色金属股份有限公司,深圳市中金岭南有色金属股份有限公司（Shenzhen Zhongjin Lingnan Non-ferrous metal Company Limited）是一家以铅锌生产为主业，集有色金属采、选、冶、加工、科研、建材、 房地产开发 、贸易仓储、 金融一体化 的跨地区、多行业综合经营的上市公司（ 股票代码 ：000060 股票简称：中金岭南）。拥有员工8637人。公司总部 设在深圳，主要铅锌产品生产基地在 韶关 。公司 注册资本 43200万元， 总资产 46.32亿元。2018年12月9日，深圳市中金岭南有色金属股份有限公司获第五届中国工业大奖。 [1]  2019年9月1日，2019中国制造业企业500强榜单发布，深圳市中金岭南有色金属股份有限公司名列第346位。 [2]  2021年4月27日， 中华全国总工会 授予其全国 工人先锋号 。 [5]  
北方华锦化学工业股份有限公司,北方华锦化学工业股份有限公司成立于1997年01月23日，注册地位于辽宁省盘锦市双台子区红旗大街，法定代表人为许晓军。 [6]  
深圳华强实业股份有限公司,"深圳华强集团有限公司 是一家以高科技产业为主导的大型 投资控股公司 。公司创建于 1979年，经过二十多年的发展 , 形成了以高科技旅游娱乐、电子信息、 电子 专业市场、 房地产 物业 、 制糖 造纸 、水务环保、预应力机具为主导产业的多元化产业布局。"
中国长城科技集团股份有限公司,"中国长城科技集团股份有限公司于1997年06月19日成立。法定代表人宋黎定,公司经营范围包括：计算机软件、硬件、终端及其外部设备、网络系统及系统集成、电子产品及零部件、金融机具、税控机具、计量仪表、安防产品、移动通讯设备、无线电话机（手机）、通信及网络产品、数字音视频产品的技术开发、销售及售后服务，并提供相关的技术和咨询服务（法律、行政法规、国务院决定禁止的项目除外，限制的项目须取得许可后方可经营）；投资兴办实业（具体项目另行申报）；自营进出口业务（具体按深贸营登证字第49号文执行）；房地产开发经营；房屋、设备等固定资产租赁（不含金融租赁）；物业管理及相关服务业务；国内商业、物资供销业（不含专营、专控、专卖商品）等。 [1]  "
深圳华控赛格股份有限公司,深圳华控赛格股份有限公司于1997年06月06日在 深圳市 市场监督管理局坪山局登记成立。法定代表人孙波，公司经营范围包括受托资产管理、投资咨询、企业管理咨询、经济信息咨询（不含限制项目）等。 [2]  
深圳华侨城股份有限公司,深圳华侨城控股股份有限公司 于 1997 年 9 月 2 日 成立，由国务院国资委直属的 华侨城集团 公司独家发起 募集设立 ，华侨城集团持有公司 56.36% 的股份。 1997年9月10日 ，公司 5000 万 社会公众股 在 深圳证券交易所 挂牌上市 。上市以来，公司通过 IPO 、配股、发行 可转换公司债券 、发行 认股权证 和发行 限制性股票 ，募集约 25 亿元资金。经过十年不断的努力，公司 2007 年末总资产为 124 亿元， 净资产 为 49 亿元。截止 2008 年 6 月，公司 总股本 为 26.21 亿股。
深圳市特发信息股份有限公司,深圳市特发信息股份有限公司（以下简称本公司）系经深圳市人民政府深府办复[1999]70号文批准，由深圳经济特区发展（集团）公司、深圳市通讯工业股份有限公司、香港企荣贸易有限公司、深圳市特发龙飞无线电通讯发展有限公司、中国五金矿产进出口总公司、香港汉国三和有限公司及中国通广电子公司等七家发起人发起设立的股份有限公司。本公司于1999年7月29日注册成立。经 中国证券监督管理委员会 2000年3月21日证监发行字[2000]25号核准，本公司向社会公开发行境内上市人民币普通股（A股）7000万股，并于2000年5月10日在深圳证券交易所挂牌交易。
深圳市盐田港股份有限公司,深圳市盐田港股份有限公司于1997年07月21日在 深圳市市场监督管理局 盐田局登记成立。法定代表人童亚明，公司经营范围包括码头的开发与经营；货物装卸与运输；港口配套交通设施建设与经营等。
深圳市海王生物工程股份有限公司,海王集团 成立于1989年，是一家集医药产品研发、医药工业制造、医药商业流通、医药零售连锁为一体的大型综合性企业集团。海王集团旗下医药产品研发、医药工业制造、医药商业流通为 海王生物 公司业务，海王生物于1998年 上市 ， 股票交易 代码000078。
深圳市天健（集团）股份有限公司,深圳市天健（集团）股份有限公司、系深圳市国资委直接控股的市属国有股份制企业，公司原名深圳市天健实业股份有限公司，其前身为1983年9月集体转业的 基建工程兵 302团。1993年改制为股份制企业，1997年4月更名为深圳市天健（集团）股份有限公司。1999年7月在 深圳证券交易所 上市。
深圳市广聚能源股份有限公司,"深圳市广聚能源股份有限公司，于1999年2月18日成立，2000年7月24日在 深圳证券交易所 发行A股挂牌上市。公司简称“广聚能源”，股票代码000096，注册资本52,800万元，法定代表人王建彬。公司属于深圳市一类企业。广聚能源始创于1989年。公司的创业者们带领员工秉承“团结、敬业、创新”的企业精神，通过二十年的努力，使公司实现了由小变大的快速飞跃。2010年实现 主营业务收入 13.8亿元，净利润0.86亿元。截止2010年末，公司总资产18.74亿元、净资产17.2亿元。"
中信海洋直升机股份有限公司,"中信海洋直升机股份有限公司于1999年02月11日成立。法定代表人杨威,公司经营范围包括：一般经营项目是：机械设备的销售；经营进出口业务（法律、行政法规、国务院决定禁止的项目除外，限制的项目须取得许可后方可经营）等。 [1]  "
中成进出口股份有限公司,"中成进出口股份有限公司于1999年03月01日成立。法定代表人刘艳,公司经营范围包括：向境外派遣各类劳务人员（不含港澳台地区）；人力资源服务；销售食品、医疗器械；对外派遣实施境外工程所需的劳务人员；进出口业务；承担我国对外经济技术援助项目和对外提供一般物资援助项目，承包各类境外工程和境内外资工程；提供经济、贸易、技术、信息的咨询和交流服务；成套设备和技术系统集成及相关技术服务；仓储；房屋租赁；销售化妆品、洗漱卫生用品、日用品等。 [1]  "
TCL科技集团股份有限公司,TCL科技集团股份有限公司成立于1982年，总部位于 广东 惠州 [18]  ，主营业务是 半导体 、 电子产品 及通讯设备、新型光电、 液晶显示器件 ，货物或技术进出口，注册资本： 1352843.871900万人民币。2020年7月，2020年《 财富 》中国500强，TCL科技集团股份有限公司排名第135位。 [1]  
